title,ingredients,time,cook
Thịt Nướng,"500 gram Thịt vai hoặc ba chỉ (có dính ít mỡ), 1/2 quả cam, 1 ít Dầu hào ,1 ít tương đen ,1 ít xì dầu, 1 thìa dầu mè, 3 cây Sả, 1 nhánh nhỏ gừng, 3 tép tỏi, hạt tiêu, 2 củ hành khô",30 phút,"Hướng dẫn nấu nướng
1
Thái thịt miếng mỏng nhỏ. Sả, gừng, hành, tỏi băm hoặc giã nhỏ. Ở đây mình áng chừng khoảng 500 gram thịt với 3 cây sả, 1 nhánh gừng nhỏ cỡ đốt ngón tay, 3 tép tỏi, 2 củ hành khô.
2
Cho tất cả sả, hành, gừng, tỏi trộn vào 1 bát, vắt cam, 1 ít tương đen, dầu hào và xì dầu. Trộn đều. Đổ thịt đã thái vào đeo bao tay bóp kỹ. Cuối cùng đổ thêm khoảng 1 thìa dầu mè vào trộn đều. Có thể thay thế dầu mè bằng dầu ăn thông thường tuy nhiên sẽ không thơm bằng.
3
Cho hộp đậy kín, ướp qua đêm trong tủ lạnh. Trước khi nướng có thể bỏ ra trộn thêm chút mắm cho dậy mùi.
4
Làm nóng nồi, hoặc lò. Nướng ở nhiệt độ 200. Khoảng 20_30 phút. Khi nướng dàn mỏng thịt, canh đảo thịt cho chín và xém đều. Tùy cách thái, dàn thịt và muốn chín kỹ khô hay thái, nếm thử để điều chỉnh thời gian đạt độ thịt mong muốn (tùy theo từng lò, nồi)
"
Phở bò ,"2kg xương bò, 500 gram thịt bò, 1 quả hành tây, 1 nhánh gừng, 3 cây quế, 2 hoa hồi, 1 ít đinh hương, 1 ít hạt mùi, 1 ít tiêu, 1 ít muối, 1 ít đường",300 phút,"1. Thịt bò rửa sạch, luộc sơ, rửa lại bằng nước lạnh. Thái thịt bò thành lát mỏng.
2. Nướng hành tây, gừng, đập dập. Cho vào nồi nước, đun sôi.
3. Nấu nước dùng từ xương bò, thêm hành tây và gừng. Hầm khoảng 2-3 giờ.
4. Trụng bánh phở qua nước sôi, cho vào bát. Thêm thịt bò thái lát, chan nước dùng đang sôi vào.
5. Thêm hành lá thái nhỏ, rau mùi, húng quế, ngò gai. Dùng kèm với chanh, tiêu, nước mắm, đường.
"
Cơm Tấm ,"500 gram sườn cốt lết, 1 ít nước mắm, 1 ít đường, 1 ít xì dầu, 1 ít tiêu, 1 ít hành lá, cơm tấm, ",30 phút,"1. Ướp sườn với nước mắm, đường, xì dầu, tiêu, hành lá băm nhỏ qua đêm. 
2. Nướng sườn ở nhiệt độ 200 độ C trong 20-30 phút. 
3. Dọn sườn nướng ăn cùng cơm tấm, trứng ốp la, dưa leo."
Bún Chả,"Thịt ba chỉ, thịt nạc vai, bún, nước mắm, đường, giấm, tỏi, ớt, đu đủ xanh, cà rốt, rau sống (xà lách, kinh giới, tía tô)",60 phút,"1. Thịt lợn vai thái thành từng miếng vừa ăn.
2. Pha nước chấm từ nước mắm, đường, hành tím, tỏi băm, ớt.
3. Nướng thịt lên bếp than hoặc lò nướng cho thơm vàng đều.
4. Luộc bún, để ráo.
5. Chuẩn bị rau sống và dưa leo.
6. Đĩa bún có rau sống, dưa leo, thịt nướng, rưới nước chấm lên trên.
"
Gỏi Cuốn ,"200 gram tôm, 200 gram thịt ba chỉ, 1 bó rau sống, 1 ít bún tươi, 1 ít bánh tráng",30 phút,"1. Luộc tôm, cắt nhỏ.
2. Chuẩn bị bún, rau sống, dưa leo, giá đỗ.
3. Làm nước chấm từ nước mắm, đường, hành phi.
4. Ngâm bánh tráng vào nước ấm, để mềm.
5. Đặt tôm, bún, rau sống, dưa leo, giá đỗ lên bánh tráng, cuốn lại và thưởng thức."
Nem Rán (Chả Giò),"300 gram thịt lợn xay, 100 gram miến, 1 củ cà rốt, 1 quả trứng, 1 ít hành lá, 1 ít mộc nhĩ, 1 ít nấm hương, bánh đa nem",20 phút,"1. Thịt lợn xay, tôm bóc vỏ, mộc nhĩ thái nhỏ, cà rốt bào sợi, miến ngâm nước, cắt khúc.
2. Trộn thịt lợn, tôm, mộc nhĩ, cà rốt, miến với hành lá thái nhỏ, nêm gia vị.
3. Nhúng bánh tráng qua nước, đặt lên mặt phẳng. Đặt nhân vào, cuộn chặt tay.
4. Chiên nem trong dầu nóng đến khi vàng giòn.
5. Làm nước chấm: hòa nước mắm, đường, giấm, nước lọc theo tỷ lệ 1:1:1:2. Thêm tỏi băm, ớt băm.
6. Bày nem ra đĩa, dùng kèm với rau sống và nước chấm.
"
Bánh Mì Thịt Nướng,"500 gram thịt ba chỉ, 1 ít nước mắm, 1 ít đường, 1 ít xì dầu, 1 củ hành tím, 3 tép tỏi, bánh mì, dưa leo, cà rốt muối chua",30 phút ,"1. Trộn bột mì, men nở, đường, muối, dầu ăn, nước lại thành bột.
2. Để bột ủ trong 1 giờ.
3. Làm nhân từ thịt nguội, bơ, trứng gà.
4. Đặt bánh mì vào lò nướng cho đến khi vàng ươm.
5. Cắt bánh mì ra, thêm nhân và rau sống.
"
Bún Riêu ,"500g xương heo ( xuống ống ), 200 gram cua đồng xay, 2 quả cà chua, 1 quả trứng, 1 ít đậu phụ, 1 ít rau sống, 1 ít dầu điều, 1 ít nước mắm, 1 ít đường, gia vị (hạt nêm/ bột ngột)",90 phút,"1. Cua đồng nấu chín, lấy thịt cua.
2. Nước dùng từ xương cua, nêm gia vị, kết hợp với hành tây, cà chua.
3. Bún tráng qua nước sôi, để ráo.
4. Thịt cua băm nhỏ.
5. Cho bún vào tô, xếp thịt cua lên trên.
6. Rưới nước dùng, thêm mắm tôm, nước mắm, đường.
"
Canh Chua Cá,"500 gram cá (cá lóc hoặc cá trê), 1 quả cà chua, 1 quả dứa, 1 ít đậu bắp, 1 ít giá đỗ, 1 ít ngò om, 1 ít me, 1 ít đường,  1 ít nước mắm, gia vị (hạt nêm/ bột ngột)",45 phút,"1. Nấu nước me chua, thêm cà chua, dứa, đậu bắp vào nấu chín. 
2. Thêm cá vào nấu đến khi chín, nêm nếm gia vị. 
3. Thêm giá đỗ, ngò om vào trước khi tắt bếp."
Lẩu Gà Lá Giang ,"1 con gà, 1 bó lá giang, 1 ít sả, 1 ít ớt, 1 ít rau ngổ, 1 ít đường,  1 ít nước mắm, gia vị (hạt nêm/ bột ngột)",30 phút,"1. Gà rửa sạch, chặt miếng vừa ăn, ướp muối, tiêu. 
2. Đun sôi nước, thêm sả, lá giang vào nấu sôi. 
3. Thêm gà vào nấu chín, nêm nếm gia vị, thêm rau ngổ trước khi tắt bếp."
Chè Trôi Nước,"200 gram bột nếp, 100 gram đậu xanh, 100 gram đường, 1 ít gừng",30 phút,"1. Đậu xanh nấu chín, nghiền nhuyễn, viên thành viên nhỏ. 
2. Bột nếp nhào với nước, bọc đậu xanh, viên thành viên tròn. 
3. Nấu nước đường với gừng, thả viên bột vào nấu đến khi nổi lên, vớt ra."
Bánh Xèo,"200 gram bột gạo, 200 ml nước cốt dừa, 100 gram tôm, 100 gram thịt ba chỉ, giá đỗ, hành lá, rau sống",30 phút,"1. Trộn bột gạo với nước cốt dừa, khuấy đều.
2. Tôm bóc vỏ, thịt ba chỉ thái miếng nhỏ.
3. Chiên tôm và thịt ba chỉ với hành lá thái nhỏ đến khi chín.
4. Đổ bột gạo vào chảo, thêm tôm, thịt ba chỉ, giá đỗ, đậy vung, chiên vàng.
5. Làm nước chấm: hòa nước mắm, đường, nước lọc theo tỷ lệ 1:1:2. Thêm ớt băm.
6. Bày bánh xèo ra đĩa, dùng kèm với rau sống và nước chấm.
"
Bánh Cuốn,"200 gram bột gạo, 100 gram thịt xay, 1 ít mộc nhĩ, 1 ít hành khô, nước mắm, chanh, đường",30 phút,"1. Pha bột gạo với nước, nêm gia vị, để 30 phút.
2. Thái thịt heo, hành tím, hành lá, nấm đông cô nhỏ.
3. Chiên thịt heo với hành tím, nấm, nêm gia vị.
4. Nước hầm xương đun sôi.
5. Phết bột gạo lên chảo nướng thành từng lớp mỏng.
6. Đặt nhân thịt vào giữa, gói lại.
7. Thêm dưa leo, rau sống lên trên.
"
Bún Thịt Nướng,"500 gram thịt ba chỉ, 1 ít nước mắm, 1 ít đường, 1 ít xì dầu, 1 củ hành tím, 3 tép tỏi, bún, rau sống, dưa leo, cà rốt",30 phút,"1. Thái thịt miếng mỏng, ướp với nước mắm, đường, xì dầu, hành tím, tỏi.
2. Nướng thịt ở nhiệt độ 200 độ C trong 20-30 phút.
3. Dọn bún, thịt nướng, rau sống, dưa leo, cà rốt, chan nước mắm pha chua ngọt."
Canh Bầu Nấu Tôm,"200 gram tôm, 1 quả bầu, 1 ít hành lá, 1 ít tiêu, 1 ít muối",20 phút,"1. Tôm bóc vỏ, băm nhỏ, ướp với muối, tiêu.
2. Bầu gọt vỏ, thái lát mỏng.
3. Xào tôm, thêm nước, đun sôi, thả bầu vào, nêm gia vị.
4. Thêm hành lá trước khi tắt bếp."
Chả Cá Lã Vọng," 500 gram cá lăng, 1 ít nghệ, 1 ít mẻ, 1 ít mắm tôm, thì là, hành lá",30 phút,"1. Cá lăng thái miếng, ướp với nghệ, mẻ, mắm tôm.
2. Nướng cá cho chín vàng.
3. Xào cá với thì là, hành lá.
4. Dùng kèm bún, rau sống, mắm tôm pha chanh, đường, ớt."
Cháo Gà,"1 con gà, 200 gram gạo, 1 ít hành lá, 1 ít tiêu, 1 ít muối",1 giờ,"1. Gà rửa sạch, luộc chín với hành tây.
2. Gỡ thịt gà, để riêng. Xương gà tiếp tục nấu để làm nước dùng.
3. Vo gạo nếp, nấu với nước dùng gà đến khi chín nhừ.
4. Thêm thịt gà vào nồi cháo, nêm muối, tiêu.
5. Bày cháo ra bát, thêm hành lá, rau răm thái nhỏ.
"
Bánh Bèo,"200 gram bột gạo, 100 gram tôm, 1 ít hành lá, 1 ít mỡ hành, nước mắm, chanh, đường",30 phút,"1. Pha bột gạo với nước thành hỗn hợp lỏng.
2. Tôm luộc chín, bóc vỏ, cắt nhỏ.
3. Hành tím băm nhỏ.
4. Nước chấm từ nước mắm, đường, hành phi.
5. Phết mỡ vào khuôn, đổ bột gạo lên.
6. Đặt nhân tôm lên trên, hấp chín.
"
Bánh Bột Lọc,"200 gram bột năng, 100 gram tôm, 100 gram thịt ba chỉ, 1 ít mộc nhĩ, nước mắm, chanh, đường",30 phút,"1. Trộn bột năng với nước, nhào thành khối dẻo.
2. Xào tôm, thịt, mộc nhĩ, nêm gia vị.
3. Bọc nhân vào bột, gói lại, hấp chín.
4. Pha nước chấm từ nước mắm, chanh, đường, tỏi, ớt."
Chả Giò Rế,"300 gram thịt lợn xay, 100 gram miến, 1 củ cà rốt, 1 quả trứng, 1 ít hành lá, 1 ít mộc nhĩ, 1 ít nấm hương, bánh tráng rế",20 phút,"1. Ngâm miến, mộc nhĩ, nấm hương cho mềm, cắt nhỏ. Cà rốt bào sợi.
2. Trộn đều thịt lợn, miến, mộc nhĩ, nấm hương, cà rốt, hành lá, trứng.
3. Trải bánh tráng rế ra, đặt nhân lên, cuộn lại.
4. Chiên nem trong dầu nóng đến khi vàng giòn."
